year_month,total_month,exports_month,imports_month,balance_month,total_cum,exports_cum,imports_cum,balance_cum,year,month,date
2023.01,33.312,19.863,13.45,6.413,33.312,19.863,13.45,6.413,2023,1,2023-01-01
2023.02,27.521,14.159,13.361,798.0,60.833,34.022,26.811,7.211,2023,2,2023-02-01
2023.03,36.06,20.656,15.404,5.252,96.893,54.678,42.215,12.463,2023,3,2023-03-01
2023.04,33.694,19.762,13.932,5.83,130.587,74.44,56.147,18.293,2023,4,2023-04-01
2023.05,34.151,19.314,14.837,4.478,164.738,93.755,70.984,22.771,2023,5,2023-05-01
2023.06,34.689,19.762,14.927,4.836,199.427,113.517,85.911,27.606,2023,6,2023-06-01
2023.07,34.513,20.09,14.423,5.667,233.94,133.607,100.333,33.274,2023,7,2023-07-01
2023.08,35.821,20.31,15.511,4.799,269.762,153.917,115.845,38.072,2023,8,2023-08-01
2023.09,37.227,21.314,15.913,5.401,306.988,175.231,131.758,43.473,2023,9,2023-09-01
2023.10,35.374,19.691,15.683,4.007,342.362,194.921,147.441,47.48,2023,10,2023-10-01
2023.11,37.056,21.006,16.05,4.956,379.418,215.927,163.491,52.437,2023,11,2023-11-01
2023.12,38.092,21.729,16.363,5.366,417.51,237.656,179.854,57.803,2023,12,2023-12-01
2024.01,37.563,21.764,15.799,5.966,37.563,21.764,15.799,5.966,2024,1,2024-01-01
2024.02,28.621,15.764,12.857,2.907,66.184,37.528,28.656,8.872,2024,2,2024-02-01
2024.03,35.537,19.852,15.686,4.166,101.722,57.38,44.342,13.038,2024,3,2024-03-01
2024.04,36.34,20.726,15.614,5.113,138.062,78.106,59.956,18.151,2024,4,2024-04-01
2024.05,37.06,21.431,15.629,5.801,175.122,99.537,75.585,23.952,2024,5,2024-05-01
2024.06,36.641,21.835,14.806,7.029,211.763,121.372,90.391,30.981,2024,6,2024-06-01
2024.07,36.674,21.369,15.305,6.064,248.437,142.741,105.696,37.044,2024,7,2024-07-01
2024.08,37.457,21.985,15.473,6.512,285.894,164.726,121.169,43.557,2024,8,2024-08-01
2024.09,37.447,21.636,15.811,5.825,323.341,186.361,136.98,49.381,2024,9,2024-09-01
2024.10,36.981,21.887,15.094,6.794,360.322,208.248,152.073,56.175,2024,10,2024-10-01
2024.11,37.477,22.198,15.279,6.919,397.798,230.446,167.352,63.094,2024,11,2024-11-01
2024.12,40.67,24.099,16.57,7.529,438.468,254.545,183.923,70.623,2024,12,2024-12-01
