region_raw,trade_total_month,trade_total_cum,exports_month,exports_cum,imports_month,imports_cum,trade_total_cum_yoy,exports_cum_yoy,imports_cum_yoy,year,month,date
??,376356483,376356483,218622834.0,218622834.0,157733650.0,157733650.0,130.0,101.0,173.0,2024,1,2024-01-01
??,186233920,186233920,108383636.0,108383636.0,77850284.0,77850284.0,196.0,201.0,189.0,2024,1,2024-01-01
???,108141,108141,105095.0,105095.0,3046.0,3046.0,371.0,374.0,293.0,2024,1,2024-01-01
??,95896,95896,89560.0,89560.0,6336.0,6336.0,-240.0,-172.0,-648.0,2024,1,2024-01-01
????,1615366,1615366,1527581.0,1527581.0,87785.0,87785.0,-75.0,-104.0,1087.0,2024,1,2024-01-01
??,2791,2791,2791.0,2791.0,0.0,0.0,-213.0,-213.0,-834.0,2024,1,2024-01-01
??,152612,152612,49582.0,49582.0,103031.0,103031.0,293.0,-49.0,564.0,2024,1,2024-01-01
??,1146154,1146154,696116.0,696116.0,450038.0,450038.0,-87.0,-86.0,-90.0,2024,1,2024-01-01
???,1040917,1040917,899533.0,899533.0,141383.0,141383.0,295.0,244.0,753.0,2024,1,2024-01-01
????,55765,55765,54709.0,54709.0,1057.0,1057.0,-1.0,35.0,-641.0,2024,1,2024-01-01
??,134949,134949,110200.0,110200.0,24749.0,24749.0,-9.0,-111.0,1027.0,2024,1,2024-01-01
????,18929159,18929159,18021886.0,18021886.0,907273.0,907273.0,538.0,512.0,1368.0,2024,1,2024-01-01
??,9583330,9583330,8154156.0,8154156.0,1429174.0,1429174.0,190.0,139.0,595.0,2024,1,2024-01-01
?????,9441900,9441900,4790484.0,4790484.0,4651416.0,4651416.0,97.0,209.0,1.0,2024,1,2024-01-01
??,1203299,1203299,907283.0,907283.0,296015.0,296015.0,380.0,427.0,253.0,2024,1,2024-01-01
???,3402234,3402234,1244484.0,1244484.0,2157751.0,2157751.0,179.0,206.0,164.0,2024,1,2024-01-01
???,1321828,1321828,794432.0,794432.0,527396.0,527396.0,-145.0,-312.0,343.0,2024,1,2024-01-01
??,18471190,18471190,10132569.0,10132569.0,8338621.0,8338621.0,58.0,20.0,109.0,2024,1,2024-01-01
??,336095,336095,301444.0,301444.0,34651.0,34651.0,-202.0,-159.0,-449.0,2024,1,2024-01-01
???,1264718,1264718,332105.0,332105.0,932613.0,932613.0,-157.0,-189.0,-144.0,2024,1,2024-01-01
??,522990,522990,269880.0,269880.0,253110.0,253110.0,516.0,1046.0,187.0,2024,1,2024-01-01
???,184957,184957,181163.0,181163.0,3794.0,3794.0,281.0,281.0,274.0,2024,1,2024-01-01
????,270507,270507,265034.0,265034.0,5473.0,5473.0,558.0,545.0,1526.0,2024,1,2024-01-01
???? ,11179799,11179799,5649017.0,5649017.0,5530782.0,5530782.0,198.0,183.0,214.0,2024,1,2024-01-01
????,43946,43946,43946.0,43946.0,1.0,1.0,342.0,342.0,3109.0,2024,1,2024-01-01
??,1021082,1021082,252233.0,252233.0,768849.0,768849.0,335.0,831.0,226.0,2024,1,2024-01-01
???,131558,131558,129086.0,129086.0,2472.0,2472.0,440.0,428.0,1547.0,2024,1,2024-01-01
??,2551444,2551444,367349.0,367349.0,2184094.0,2184094.0,403.0,363.0,410.0,2024,1,2024-01-01
????,1484899,1484899,1271358.0,1271358.0,213541.0,213541.0,184.0,155.0,392.0,2024,1,2024-01-01
????,6347,6347,6347.0,6347.0,0.0,0.0,-458.0,-458.0,-651.0,2024,1,2024-01-01
???,4265970,4265970,3282571.0,3282571.0,983399.0,983399.0,-21.0,-32.0,20.0,2024,1,2024-01-01
???,1618144,1618144,290050.0,290050.0,1328094.0,1328094.0,-94.0,360.0,-155.0,2024,1,2024-01-01
?????,6683578,6683578,3250456.0,3250456.0,3433122.0,3433122.0,-45.0,137.0,-171.0,2024,1,2024-01-01
???,6716323,6716323,4614919.0,4614919.0,2101405.0,2101405.0,-21.0,-119.0,297.0,2024,1,2024-01-01
??,18906513,18906513,8608826.0,8608826.0,10297687.0,10297687.0,133.0,20.0,248.0,2024,1,2024-01-01
????,431585,431585,372510.0,372510.0,59075.0,59075.0,733.0,635.0,1783.0,2024,1,2024-01-01
???,24941,24941,24861.0,24861.0,79.0,79.0,-136.0,-137.0,195.0,2024,1,2024-01-01
??,7631804,7631804,5132562.0,5132562.0,2499242.0,2499242.0,146.0,155.0,128.0,2024,1,2024-01-01
???,2923961,2923961,2669519.0,2669519.0,254442.0,254442.0,30.0,36.0,-29.0,2024,1,2024-01-01
???,6710910,6710910,4604472.0,4604472.0,2106438.0,2106438.0,163.0,306.0,-62.0,2024,1,2024-01-01
??,140065,140065,139107.0,139107.0,957.0,957.0,-288.0,-289.0,27.0,2024,1,2024-01-01
??,15282922,15282922,9741230.0,9741230.0,5541692.0,5541692.0,513.0,695.0,272.0,2024,1,2024-01-01
??,6707741,6707741,,,6707741.0,6707741.0,529.0,,529.0,2024,1,2024-01-01
????,16561161,16561161,4682342.0,4682342.0,11878819.0,11878819.0,299.0,310.0,295.0,2024,1,2024-01-01
???,17760,17760,17727.0,17727.0,33.0,33.0,419.0,416.0,6238.0,2024,1,2024-01-01
?????,2731128,2731128,1862718.0,1862718.0,868410.0,868410.0,594.0,759.0,328.0,2024,1,2024-01-01
??????,1155279,1155279,1145767.0,1145767.0,9512.0,9512.0,650.0,642.0,3133.0,2024,1,2024-01-01
?????,277405,277405,228092.0,228092.0,49313.0,49313.0,413.0,316.0,1142.0,2024,1,2024-01-01
?????,627709,627709,72946.0,72946.0,554762.0,554762.0,-44.0,362.0,-80.0,2024,1,2024-01-01
?????? ,777972,777972,693099.0,693099.0,84873.0,84873.0,550.0,475.0,1664.0,2024,1,2024-01-01
????,133718,133718,127994.0,127994.0,5724.0,5724.0,-22.0,-51.0,2006.0,2024,1,2024-01-01
????,79462,79462,49142.0,49142.0,30320.0,30320.0,-28.0,439.0,-363.0,2024,1,2024-01-01
????,123996,123996,123302.0,123302.0,694.0,694.0,483.0,511.0,-655.0,2024,1,2024-01-01
??????(??),1,1,0.0,0.0,0.0,0.0,,,,2024,1,2024-01-01
??,19837277,19837277,12270289.0,12270289.0,7566988.0,7566988.0,176.0,148.0,225.0,2024,1,2024-01-01
?????,883229,883229,863179.0,863179.0,20049.0,20049.0,380.0,378.0,496.0,2024,1,2024-01-01
???,1178491,1178491,233183.0,233183.0,945309.0,945309.0,-146.0,-153.0,-144.0,2024,1,2024-01-01
??,76406,76406,75759.0,75759.0,647.0,647.0,-478.0,-478.0,-502.0,2024,1,2024-01-01
????,83686,83686,15291.0,15291.0,68395.0,68395.0,2608.0,140.0,5993.0,2024,1,2024-01-01
???,6620,6620,6302.0,6302.0,317.0,317.0,45.0,102.0,-483.0,2024,1,2024-01-01
??? ,285024,285024,277227.0,277227.0,7797.0,7797.0,130.0,152.0,-334.0,2024,1,2024-01-01
?????,432,432,432.0,432.0,0.0,0.0,1885.0,1883.0,12323.0,2024,1,2024-01-01
???,9560,9560,9559.0,9559.0,0.0,0.0,986.0,986.0,-319.0,2024,1,2024-01-01
??,4498,4498,3820.0,3820.0,678.0,678.0,600.0,1298.0,-410.0,2024,1,2024-01-01
??,83743,83743,22633.0,22633.0,61110.0,61110.0,2443.0,-70.0,232444516.0,2024,1,2024-01-01
???,5145,5145,5144.0,5144.0,0.0,0.0,-456.0,-456.0,-947.0,2024,1,2024-01-01
?????,375116,375116,93826.0,93826.0,281290.0,281290.0,-73.0,27.0,-103.0,2024,1,2024-01-01
